Season,WTeamID,LTeamID,G_x,W_x,ADJOE_x,ADJDE_x,BARTHAG_x,EFG_O_x,EFG_D_x,TOR_x,TORD_x,ORB_x,DRB_x,FTR_x,FTRD_x,2P_O_x,2P_D_x,3P_O_x,3P_D_x,ADJ_T_x,WAB_x,Win_Perc_x,PPG_x,PAPG_x,Close_Wins_x,Close_Losses_x,Close_Win_Perc_x,Seed_Diff,538_Diff
2016,1195,1192,-1,0,-0.09999999999999432,-13.199999999999989,0.3046,0.29999999999999716,-4.699999999999996,-0.5,-5.1,3.3000000000000007,-8.299999999999997,4.0,-11.600000000000001,2.0,-3.8000000000000043,-2.1999999999999957,-4.199999999999999,-4.5,1.5,0.0033370411568409697,-1.25250278086763,-5.654060066740826,-1.0,4.0,-0.134920634920635,0,4.689999999999998
2016,1455,1435,1,6,-4.200000000000003,-5.400000000000006,0.017300000000000093,-4.0,1.6000000000000014,-2.1000000000000014,9.0,4.5,-5.699999999999999,-2.3999999999999986,11.0,-0.8999999999999986,-0.5,-5.900000000000006,3.3000000000000043,-1.9000000000000057,0.5,0.14818548387096775,-3.6209677419354875,-7.92439516129032,0.0,-3.0,0.0692307692307692,0,1.0
2016,1221,1380,3,-4,-2.200000000000003,0.7000000000000028,-0.06669999999999998,-0.6000000000000014,5.300000000000004,0.5,0.0,-5.0,-1.5999999999999979,-2.0,-6.5,-0.3999999999999986,5.099999999999994,-1.1999999999999957,3.5,-4.900000000000006,-6.4,-0.18866080156402737,-5.892473118279568,0.3118279569892479,-2.0,1.0,-0.07843137254901955,0,-1.1099999999999994
2016,1276,1409,3,2,3.9000000000000057,-0.19999999999998863,0.07139999999999991,4.200000000000003,3.1999999999999957,-1.0999999999999996,-2.5,-3.1999999999999993,-4.100000000000001,-11.8,-7.600000000000001,1.5,6.100000000000001,5.399999999999999,-1.1999999999999957,-3.1000000000000085,2.0,-0.008797653958944274,0.4242424242424221,-1.4956011730205176,0.0,-4.0,0.17460317460317454,0,-0.36000000000001364
2016,1114,1345,-2,2,-9.600000000000009,3.299999999999997,-0.15839999999999999,-1.7000000000000028,1.6000000000000014,-2.0999999999999996,7.300000000000001,-8.3,6.100000000000001,-3.8999999999999986,10.199999999999996,-3.8999999999999986,2.8000000000000043,1.5,-0.5,-5.1000000000000085,-2.3000000000000003,0.10626185958254275,-7.735294117647058,-4.523719165085396,11.0,-2.0,0.3421052631578947,7,-9.780000000000001
2016,1139,1403,1,3,5.1000000000000085,-0.30000000000001137,0.06720000000000004,2.6000000000000014,0.10000000000000142,-3.3000000000000007,-0.3999999999999986,0.9000000000000021,-4.799999999999997,-2.9000000000000057,2.8999999999999986,0.6999999999999957,1.8999999999999986,4.699999999999996,-1.8000000000000043,2.0,0.7,0.06451612903225801,8.193548387096769,1.3225806451612812,-3.0,-2.0,-0.01666666666666672,1,2.9000000000000057
2016,1163,1160,3,4,2.700000000000003,-1.7999999999999972,0.06599999999999995,3.1000000000000014,-2.299999999999997,-2.5,2.799999999999999,-6.199999999999996,4.300000000000001,-10.899999999999999,-0.30000000000000426,6.0,-2.299999999999997,-2.1000000000000014,-2.6999999999999957,-3.0,0.5,0.049632352941176516,-2.025735294117652,-7.599264705882355,-4.0,2.0,-0.16099071207430338,1,3.8599999999999994
2016,1181,1423,5,2,11.700000000000003,-2.0,0.1936,2.5,2.0,-1.5999999999999996,-2.5,1.1000000000000014,4.600000000000001,5.0,-29.900000000000002,0.0,2.799999999999997,4.100000000000001,0.10000000000000142,-2.5999999999999943,4.9,-0.0696969696969697,3.3878787878787904,0.3606060606060595,-5.0,2.0,-0.16176470588235292,-9,9.61
2016,1211,1371,1,2,6.6000000000000085,3.0999999999999943,0.022399999999999975,5.400000000000006,-0.6000000000000014,-2.299999999999997,-4.4,-2.6000000000000014,-4.800000000000001,-6.0,-5.699999999999996,5.5,0.10000000000000142,3.0999999999999943,-1.3999999999999986,-2.200000000000003,-3.1999999999999997,0.02367424242424243,4.651515151515156,-1.0378787878787818,-4.0,0.0,-0.07070707070707061,5,1.5
2016,1231,1151,2,0,15.700000000000003,-2.3999999999999915,0.2881999999999999,7.0,-0.7000000000000028,1.6000000000000014,-1.3000000000000007,4.900000000000006,0.1999999999999993,-7.700000000000003,-0.6999999999999993,5.399999999999999,-1.5,6.0,0.5999999999999943,2.200000000000003,2.8000000000000003,-0.0625,7.5,1.8125,-6.0,3.0,-0.2222222222222222,-7,10.760000000000005
2016,1235,1233,2,1,12.300000000000011,-3.5,0.23399999999999999,3.3000000000000043,1.0,-1.9000000000000021,-2.3999999999999986,-3.0,-0.8999999999999986,-6.299999999999997,-11.399999999999999,4.200000000000003,3.5,1.7000000000000028,-2.299999999999997,-0.29999999999999716,7.2,-0.03125,2.25,1.3125,0.0,4.0,-0.11249999999999999,-9,8.280000000000001
